process,bss.demix_update,bss.source_model,bss.forget,bss.n_iter,bss.f_limit,mixdir_name,SDR_mix,SDR_est,SDR_imp
batch,IP1,Gauss,0.96,100,500,int,-0.5096699997152077,-1.8410549809400896,-1.3313849812248821
batch,IP1,Gauss,0.96,100,500,rot-mix,-0.5096699997152077,-0.38856950998722617,0.1211004897279814
batch,IP1,Gauss,0.96,100,1000,int,-0.5096699997152077,0.6480061996272135,1.157676199342421
batch,IP1,Gauss,0.96,100,1000,rot-mix,-0.5096699997152077,-1.8816425143952615,-1.3719725146800543
batch,IP1,Gauss,0.96,100,2000,int,-0.5096699997152077,-3.300336461294934,-2.7906664615797263
batch,IP1,Gauss,0.96,100,2000,rot-mix,-0.5096699997152077,-2.13778486966627,-1.6281148699510624
batch,IP1,Gauss,0.96,100,4000,int,-0.5096699997152077,-3.1242740408116374,-2.6146040410964297
batch,IP1,Gauss,0.96,100,4000,rot-mix,-0.5096699997152077,1.8521545504035817,2.3618245501187896
batch,IP1,Gauss,0.96,100,8000,int,-0.5096699997152077,-0.3092995058024401,0.20037049391276748
batch,IP1,Gauss,0.96,100,8000,rot-mix,-0.5096699997152077,-2.304293799139549,-1.7946237994243417
batch,IP1,Laplace,0.96,100,500,int,-0.5096699997152077,2.8991073115587267,3.4087773112739344
batch,IP1,Laplace,0.96,100,500,rot-mix,-0.5096699997152077,0.9894770118409273,1.4991470115561347
batch,IP1,Laplace,0.96,100,1000,int,-0.5096699997152077,4.284683569138228,4.794353568853436
batch,IP1,Laplace,0.96,100,1000,rot-mix,-0.5096699997152077,6.996591217494624,7.50626121720983
batch,IP1,Laplace,0.96,100,2000,int,-0.5096699997152077,3.9914606623119764,4.501130662027183
batch,IP1,Laplace,0.96,100,2000,rot-mix,-0.5096699997152077,5.6302271669608634,6.139897166676071
batch,IP1,Laplace,0.96,100,4000,int,-0.5096699997152077,2.5670058854799933,3.0766758851952014
batch,IP1,Laplace,0.96,100,4000,rot-mix,-0.5096699997152077,3.3516631264417946,3.8613331261570023
batch,IP1,Laplace,0.96,100,8000,int,-0.5096699997152077,-2.078873423984808,-1.5692034242696007
batch,IP1,Laplace,0.96,100,8000,rot-mix,-0.5096699997152077,-4.6691335835005745,-4.159463583785367
